ewh_sample_id,sample_uuid_bin,sample_uuid,sample_friendly_name,study_friendly_names,studies_set_up
7019894,...,6b793598-7ddc-11ec-9182-fa163eac3af7,3429STDY11677574,"Team 112 R&D","2014-12-05 12:01:32"
7019895,...,6b7b44b4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677575,"Team 112 R&D","2014-12-05 12:01:32"
7019896,...,6b7d55f6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677576,"Team 112 R&D","2014-12-05 12:01:32"
7019897,...,6b7f69ea-7ddc-11ec-9182-fa163eac3af7,3429STDY11677577,"Team 112 R&D","2014-12-05 12:01:32"
7019898,...,6b8328aa-7ddc-11ec-9182-fa163eac3af7,3429STDY11677578,"Team 112 R&D","2014-12-05 12:01:32"
7019899,...,6b853906-7ddc-11ec-9182-fa163eac3af7,3429STDY11677579,"Team 112 R&D","2014-12-05 12:01:32"
7019900,...,6b87394a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677580,"Team 112 R&D","2014-12-05 12:01:32"
7019901,...,6b8937a4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677581,"Team 112 R&D","2014-12-05 12:01:32"
7019902,...,6b8b4fc6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677582,"Team 112 R&D","2014-12-05 12:01:32"
7019903,...,6b8d5c30-7ddc-11ec-9182-fa163eac3af7,3429STDY11677583,"Team 112 R&D","2014-12-05 12:01:32"
7019904,...,6b8f68f4-7ddc-11ec-9182-fa163eac3af7,3429STDY11677584,"Team 112 R&D","2014-12-05 12:01:32"
7019905,...,6b917586-7ddc-11ec-9182-fa163eac3af7,3429STDY11677585,"Team 112 R&D","2014-12-05 12:01:32"
7019906,...,6b938d4e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677586,"Team 112 R&D","2014-12-05 12:01:32"
7019907,...,6b95a976-7ddc-11ec-9182-fa163eac3af7,3429STDY11677587,"Team 112 R&D","2014-12-05 12:01:32"
7019908,...,6b97d944-7ddc-11ec-9182-fa163eac3af7,3429STDY11677588,"Team 112 R&D","2014-12-05 12:01:32"
7019909,...,6b99f0ee-7ddc-11ec-9182-fa163eac3af7,3429STDY11677589,"Team 112 R&D","2014-12-05 12:01:32"
7019910,...,6b9c0014-7ddc-11ec-9182-fa163eac3af7,3429STDY11677590,"Team 112 R&D","2014-12-05 12:01:32"
7019911,...,6b9e0e40-7ddc-11ec-9182-fa163eac3af7,3429STDY11677591,"Team 112 R&D","2014-12-05 12:01:32"
7019912,...,6ba17882-7ddc-11ec-9182-fa163eac3af7,3429STDY11677592,"Team 112 R&D","2014-12-05 12:01:32"
7019913,...,6ba37fa6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677593,"Team 112 R&D","2014-12-05 12:01:32"
7019914,...,6ba57dce-7ddc-11ec-9182-fa163eac3af7,3429STDY11677594,"Team 112 R&D","2014-12-05 12:01:32"
7019915,...,6ba7a19e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677595,"Team 112 R&D","2014-12-05 12:01:32"
7019916,...,6ba9af3e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677596,"Team 112 R&D","2014-12-05 12:01:32"
7019917,...,6babb1da-7ddc-11ec-9182-fa163eac3af7,3429STDY11677597,"Team 112 R&D","2014-12-05 12:01:32"
7019918,...,6badcd3a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677598,"Team 112 R&D","2014-12-05 12:01:32"
7019919,...,6bafdd46-7ddc-11ec-9182-fa163eac3af7,3429STDY11677599,"Team 112 R&D","2014-12-05 12:01:32"
7019920,...,6bb1e97e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677600,"Team 112 R&D","2014-12-05 12:01:32"
7019921,...,6bb3fcdc-7ddc-11ec-9182-fa163eac3af7,3429STDY11677601,"Team 112 R&D","2014-12-05 12:01:32"
7019922,...,6bb5fcf8-7ddc-11ec-9182-fa163eac3af7,3429STDY11677602,"Team 112 R&D","2014-12-05 12:01:32"
7019923,...,6bb7fc6a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677603,"Team 112 R&D","2014-12-05 12:01:32"
7019924,...,6bb9fa1a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677604,"Team 112 R&D","2014-12-05 12:01:32"
7019925,...,6bbbf96e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677605,"Team 112 R&D","2014-12-05 12:01:32"
7019926,...,6bbdf44e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677606,"Team 112 R&D","2014-12-05 12:01:32"
7019927,...,6bbfe9b6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677607,"Team 112 R&D","2014-12-05 12:01:32"
7019928,...,6bc1e1bc-7ddc-11ec-9182-fa163eac3af7,3429STDY11677608,"Team 112 R&D","2014-12-05 12:01:32"
7019929,...,6bc3f830-7ddc-11ec-9182-fa163eac3af7,3429STDY11677609,"Team 112 R&D","2014-12-05 12:01:32"
7019930,...,6bc5fe5a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677610,"Team 112 R&D","2014-12-05 12:01:32"
7019931,...,6bc81528-7ddc-11ec-9182-fa163eac3af7,3429STDY11677611,"Team 112 R&D","2014-12-05 12:01:32"
7019932,...,6bcc84dc-7ddc-11ec-9182-fa163eac3af7,3429STDY11677612,"Team 112 R&D","2014-12-05 12:01:32"
7019933,...,6bceb55e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677613,"Team 112 R&D","2014-12-05 12:01:32"
7019934,...,6bd0c70e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677614,"Team 112 R&D","2014-12-05 12:01:32"
7019935,...,6bd2e94e-7ddc-11ec-9182-fa163eac3af7,3429STDY11677615,"Team 112 R&D","2014-12-05 12:01:32"
7019936,...,6bd50cf6-7ddc-11ec-9182-fa163eac3af7,3429STDY11677616,"Team 112 R&D","2014-12-05 12:01:32"
7019937,...,6bd73760-7ddc-11ec-9182-fa163eac3af7,3429STDY11677617,"Team 112 R&D","2014-12-05 12:01:32"
7019938,...,6bd9d3da-7ddc-11ec-9182-fa163eac3af7,3429STDY11677618,"Team 112 R&D","2014-12-05 12:01:32"
7019939,...,6bdbe03a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677619,"Team 112 R&D","2014-12-05 12:01:32"
7019940,...,6bde031a-7ddc-11ec-9182-fa163eac3af7,3429STDY11677620,"Team 112 R&D","2014-12-05 12:01:32"
6943685,...,2ab8c114-7872-11ec-a00e-fa163eea3084,3429STDY11677623,"Team 112 R&D","2014-12-05 12:01:32"
6943686,...,2abb91fa-7872-11ec-a00e-fa163eea3084,3429STDY11677624,"Team 112 R&D","2014-12-05 12:01:32"
6943687,...,2abdc7cc-7872-11ec-a00e-fa163eea3084,3429STDY11677625,"Team 112 R&D","2014-12-05 12:01:32"
6943688,...,2abff25e-7872-11ec-a00e-fa163eea3084,3429STDY11677626,"Team 112 R&D","2014-12-05 12:01:32"
6943689,...,2ac23834-7872-11ec-a00e-fa163eea3084,3429STDY11677627,"Team 112 R&D","2014-12-05 12:01:32"
6943690,...,2ac63128-7872-11ec-a00e-fa163eea3084,3429STDY11677628,"Team 112 R&D","2014-12-05 12:01:32"
6943691,...,2ac88536-7872-11ec-a00e-fa163eea3084,3429STDY11677629,"Team 112 R&D","2014-12-05 12:01:32"
6943692,...,2acabf72-7872-11ec-a00e-fa163eea3084,3429STDY11677630,"Team 112 R&D","2014-12-05 12:01:32"
6943693,...,2acdd59a-7872-11ec-a00e-fa163eea3084,3429STDY11677631,"Team 112 R&D","2014-12-05 12:01:32"
6943694,...,2acff050-7872-11ec-a00e-fa163eea3084,3429STDY11677632,"Team 112 R&D","2014-12-05 12:01:32"
6943695,...,2ad21344-7872-11ec-a00e-fa163eea3084,3429STDY11677633,"Team 112 R&D","2014-12-05 12:01:32"
6943696,...,2ad45f82-7872-11ec-a00e-fa163eea3084,3429STDY11677634,"Team 112 R&D","2014-12-05 12:01:32"
6943697,...,2ad69892-7872-11ec-a00e-fa163eea3084,3429STDY11677635,"Team 112 R&D","2014-12-05 12:01:32"
6943698,...,2ad8d74c-7872-11ec-a00e-fa163eea3084,3429STDY11677636,"Team 112 R&D","2014-12-05 12:01:32"
6943699,...,2adb30c8-7872-11ec-a00e-fa163eea3084,3429STDY11677637,"Team 112 R&D","2014-12-05 12:01:32"
6943700,...,2add8ee0-7872-11ec-a00e-fa163eea3084,3429STDY11677638,"Team 112 R&D","2014-12-05 12:01:32"
6943701,...,2adfddee-7872-11ec-a00e-fa163eea3084,3429STDY11677639,"Team 112 R&D","2014-12-05 12:01:32"
6943702,...,2ae21b72-7872-11ec-a00e-fa163eea3084,3429STDY11677640,"Team 112 R&D","2014-12-05 12:01:32"
6943703,...,2ae468f0-7872-11ec-a00e-fa163eea3084,3429STDY11677641,"Team 112 R&D","2014-12-05 12:01:32"
6943704,...,2ae6a912-7872-11ec-a00e-fa163eea3084,3429STDY11677642,"Team 112 R&D","2014-12-05 12:01:32"
6943705,...,2ae8df70-7872-11ec-a00e-fa163eea3084,3429STDY11677643,"Team 112 R&D","2014-12-05 12:01:32"
6943706,...,2aeb0eee-7872-11ec-a00e-fa163eea3084,3429STDY11677644,"Team 112 R&D","2014-12-05 12:01:32"
6943707,...,2aed2b8e-7872-11ec-a00e-fa163eea3084,3429STDY11677645,"Team 112 R&D","2014-12-05 12:01:32"
6943708,...,2aef58d2-7872-11ec-a00e-fa163eea3084,3429STDY11677646,"Team 112 R&D","2014-12-05 12:01:32"
6943709,...,2af1867a-7872-11ec-a00e-fa163eea3084,3429STDY11677647,"Team 112 R&D","2014-12-05 12:01:32"
6943710,...,2af3bd0a-7872-11ec-a00e-fa163eea3084,3429STDY11677648,"Team 112 R&D","2014-12-05 12:01:32"
